Unidad Administrativa,Direcciones/Subdirecciones,"Áreas (ejemplo: Personal, Financieros, recursos materiales, Distritos de Riego, Observatorios, Meteorológicos, Residenciasetc.)"
Dirección Local Campeche,Direccion,
,Subdireccion de Enlace Administrativo,Personal
,,Recursos Financieros
,,Recursos Materiales
,,Tecnologia de la Información
,,Comunicación y Cultura del Agua
,Subdireccion de Infraestructura hidroagricola,Coordinación de Protección a la Infraestructura
,,Coordinación de Protección a la Infraestructura (CRAE14)
,,Unidades de Riego
,,Distritos de Temporal
,,Residencia de Construcción
,Area de Agua Potable,Prodder
,,Prosanear
,,Proagua
,Subdirección de Consejo de Cuenca Gestión Social y Atención de Emergencias,
,Juridico,Jurídico
,Subdirección de Administración del Agua,Centro Integral de atención de Servicios
,,Inspección y Medición
,,Dictaminación
,,Archivo
,,Calificación de Infracciones
,Area de Recaudación y Fiscalización,Recaudación
,Residencia Técnica,Observatorio Meteorológico
,,Radar Sabancuy
,,Aguas Subteraneas
,,Aguas Superficiales
DIRECCIÓN LOCAL COAHUILA ,SUBDIRECCIÓN DE ADMINISTRACIÓN DEL AGUA,SUBDIRECCIÓN DE ADMINISTRACIÓN DEL AGUA
,SUBDIRECCION DE ENLACE ADMINISTRATIVO,PERSONAL
,,FINANCIEROS
,,UNIDAD JURIDICA
,,RECURSOS MATERIALES
,,SISTEMAS
,SUBDIRECCIÓN DE ASISTENCIA TECNICA-HIDROAGRICOLA,SUBDIRECCIÓN DE ASISTENCIA TECNICA-HIDROAGRICOLA
,Coordinación de Atención a Emergencias y Consejos de Cuenca,BRIGADA DE PROTECCION A LA INFRAESTRUCTURA Y ATENCION A EMERGENCIAS
,SUBDIRECCIÓN DE ASISTENCIA TECNICA-OPERATIVA,SUBDIRECCIÓN DE ASISTENCIA TECNICA-OPERATIVA
,,CENTRO DE ACOPIO 
,,OBSERVATORIO PIEDRAS NEGRAS
,,DISTRITO DE RIEGO 006 PALESTINA
,,OBSERVATORIO MONCLOVA 
,Coordinación de Atención a Emergencias y Consejos de Cuenca,Centro Regional de Atención a Emergencia (CRAE)
,SUBDIRECCIÓN DE ASISTENCIA TECNICA-OPERATIVA,OBSERVATORIO SALTILLO
Dirección Local Colima,Proteccion a la Infraestructrura y Atención de Emergencias,Presa Basilio Vadillo
,,Presa Trojes
,,Derivadora Callejones
,,Radar de Cuyutlan
,Residencia Técnica,Observatorio Metereologico de Manzanillo
Dirección Local Estado de México,Dirección,PIAE
,Subdirección de enlace Administrativo,Personal
,,Recursos Financieros
,,Recursos Materiales
,,Servicios Generales
,,Adquisiciones
,,Unidad de Almacen
,,Informática y Telecomunicaciones
,"Subdirección de Consejos de Cuenca, Gestión Social y Atención de a Emergencias",
,Unidad de Asuntos Jurídicos,
,Subdirección de Administración del Agua,Servicios a Usuarios
,,Inspección y Medición
,,Calificación e Infracciones
,,Archivo
,,Centro Integral de Servicios
,Subdirección de Asistencia Técnica Operativa,Laboratorio
,Recaudación y Fiscalización.,
,Meteorológico,
,Distrito de Riego 033 Atlacomulco,
,Distrito de Riego 044 Jilotepec,
,Distrito de Riego 088 Chiconautla,
,Residencia General Zumpango,
Dirección Local Guerrero,Dirección,Dirección
,Subdirección de Enlace Administrativo,Subdirección
,,Personal
,,Financieros
,,Recursos Materiales
,,Tecnología de Información y Comunicaciones
,,Almacen
,Subdirección de Administración del Agua,Subdirección
,,Dictaminacion y Titulación
,,Centro Integral de Servicios
,,Inspección y Medición
,,Calificación de Infracciones
,Subdirección Técnica,Subdirección
,,Seguridad de Presas
,,Aguas Subterraneas
,,Aguas Superficiales e Ingeniería de Ríos
,,Laboratorio de Calidad del Agua 
,Brigada de Proteccion a la Infraestructura y Atención a Emergencias,Brigada de Proteccion a la Infraestructura y Atención a Emergencias
,Unidad de Asuntos Jurídicos,Unidad de Asuntos Jurídicos
,"Subdirección de Agua Potable, Drenaje y Saneamiento",Subdirección
,,Programas Federalizados
,,Programa de Devolución de Derechos
,Subdirección de Recaudación y Fiscalización,Subdirección de Recaudación y Fiscalización
,Subdirección ,"Subdirección de Consejos de Cuenca, Gestion social y Atencion a Emergencias"
,Subdirección Técnica,Observatorio Meteorológico Chilpancingo
,,Observatorio Meteorológico Acapulco
,Subdireccion de Infraestructura Hidroagricola,Subdireccion
,,"Programa Rehabilitación, Tecnificación y Equipamiento de Unidades de Riego."
,,Programas Federales
,,Distrito de Riego 057 CD. Altamirano. Guerrero
,,Distrito de Riego 095. Atoyac de Alvarez. Guerrero
,,Distrito de Riego 068. Iguala de la Independencia. Guerrero
,,Distrito de Riego 104. Cuajinicuilapa. Guerrero
,,Distrito de Riego 105. Las Vigas Guerrero
,Oficinas de Acapulco. Guerrero,Oficinas de Acapulco. Guerrero
Dirección Local Nayarit,Subdireccion de Administración del Agua,Centro Integral de Servicios
,,Servicios a Usuarios
,,Inspección y Medición
,,Soporte Documental y Archivo
,,Subdirección
,Subdireccion de Enlace Administrativo,Recursos Materiales
,,Recursos Humanos
,,Recursos Financieros
,,Licitaciones y Control Técnico
,,Recaudación
,,Tics
,,Subdirección
,Subdireccion Técnica,Calidad del Agua
,,Agua Potable y Alcantarillado
,,"Aguas Subterraneas, Superficiales y Zonas Federales"
,,Cultura del Agua
,,Meteorologia
,,Observatorio
,,Laboratorio
,,Campamento SARH
,,Subdirección
,Subdirección de Infraestructura Hidroagricola,Subdirección
,,PIAE
,,Residencia General de Infraestructura Hidroagricola
,,Distrito de Riego 043
,,Unidades de Riego
,Unidad Jurídica,Unidad Juridica
,Dirección,Dirección
,,Transparencia
,,Comunicación Social
Organismo de Cuenca Cuencas Centrales del Norte,Dirección General,Dirección General
,Dirección de Administración,Dirección de Administración
,,Financieros
,,Informática y Telecomunicaciones
,,Materiales y Servicios Generales
,,Personal
,Dirección de Administración del Agua,Dirección de Administración del Agua
,,Control de Bases de Datos y Expedientes
,,Dictaminación
,,Medición e Inspección
,,"Operación, Seguimiento y Evaluación de COTAS"
,"Dirección de Agua Potable, Drenaje y Saneamiento","Dirección de Agua Potable, Drenaje y Saneamiento"
,,"Agua Potable, Drenaje y Saneamiento"
,,Consolidación de Organismos Operadores
,,Agua Saludable para La Laguna
,Dirección de Asuntos Jurídicos,Dirección de Asuntos Jurídicos
,,De lo Contencioso
,,Juicios de Amparo y Fiscales
,Dirección de Infraestructura Hidroagrícola,Dirección de Infraestructura Hidroagrícola
,,Construcción
,,Unidades de Riego
,Dirección de Recaudación y Fiscalización,Dirección de Recaudación y Fiscalización
,,Fiscalización
,,Recaudación
,Dirección Técnica,Dirección Técnica
,,Calidad del Agua
,,Seguridad de Presas
,,Aguas Subterráneas
,,Aguas Superficiales
,Coordinación de Protección a Infraestructura y Atención a Emergencias,Coordinación de Protección a Infraestructura y Atención a Emergencias
,Distrito de Riego 017 Región Lagunera Coahuila / Durango,Distrito de Riego 017 Región Lagunera Coahuila / Durango
,,Administración
,,Conservación
,,Ingeniería de Riego y Drenaje
,,Operación
,Dirección Técnica,Laboratorio de Calidad del Agua
,Coordinación de Protección a Infraestructura y Atención a Emergencias,Centro de Regional de Atención a Emergencias
,Distrito de Riego 017 Región Lagunera Coahuila / Durango,"Unidad de Riego Nazas, Durango"
,,"Unidad de Riego Matamoros, Coahuila de Zaragoza"
,,"Unidad de Riego Francisco I. Madero, Coahuila de Zaragoza"
,,"Unidad de Riego San Pedro, Coahuila de Zaragoza"
Organismo de Cuenca Pacífico Sur,Dirección General,Dirección General
,Dirección de Administración,Dirección
,,Personal
,,Materiales
,,Almacén del OCPS
,,Financieros
,,Tecnología de la Información y Comunicaciones
,,Sección Sindical No. 35 de la SNTSEMARNAT
,"Dirección de Agua Potable, Drenaje y Saneamiento",Dirección
,,Agua Potable Drenaje y Saneamiento en Zonas Urbanas
,,Agua Potable Drenaje y Saneamiento en Zonas Rurales
,,Brigada de Agua Limpia
,,Atención y Gestión Ciudadana
,,Controloría Social
,Direccíon de Recaudación y Fiscalización,Dirección
,Dirección Técnica,Dirección
,,Aguas Superficiales
,,Aguas Subterráneas
,,Calidad del Agua e Impacto Ambiental
,,Laboratorio de Calidad del Agua
,,Observatorio Meteorológico Oaxaca
,,Oficina de Hidrometría Operativa
,,Observatorio Meteorológico de Salina Cruz
,,Radar Meteorológico de Puerto Ángel
,,Observatorio Meteorológico de Puerto Ángel
,Dirección de Infraestructura Hidroagrícola,Dirección
,,Diseño e Ingeniería Proyecto Oaxaca
,,Estudios y Proyectos
,,Unidades de Riego
,,Distrito de Riego 019
,,Residencia General Rehabilitación y Modernización del Distrito de Riego 019
,,Residencia General Proyecto Río Verde
,,Protección a la Infraestructura y Atención a Emergencias
,,Presa Benito Juárez
,Dirección de Administración del Agua,Dirección
,,Calificación e Infracciones
,,Inspección y Medición
,,Bancos del Agua
,,Centro Integral de Servicios
,,Titulación y Dictaminación
,,Consejos de Cuenca y Cultura del Agua
,Dirección de Asuntos Jurídicos,Dirección
,,De lo Consultivo
Organismo de Cuenca Río Bravo,Dirección General,Dirección General
,,Comunicación Social
,Dirección de Administración,Dirección de Área
,,Oficina Enlace Tamaulipas Zona Norte
,Dirección de Administración del Agua,Dirección de Área
,,CIS -Monterrey
,,CIS -Reynosa
,"Dirección de Agua Potable, Drenaje y Saneamiento",Dirección de Área
,,Oficina Enlace Tamaulipas Zona Norte
,Dirección de Infraestructura Hidroagrícola,Dirección de Área
,,"Presa ""La Boca"""
,,"Presa ""Cerro Prieto"""
,,"Presa ""El Cuchillo"""
,,"DR 004 ""Don Martín"" Jefatura"
,,"Presa ""Venustiano Carranza"""
,,"DR 006 ""Palestina"" Residencia de Construcción"
,,"DR 025 ""Bajo Río Bravo"" Jefatura"
,,"DR 025 ""Bajo Río Bravo"" Operación"
,,"DR 025 ""Bajo Río Bravo"" 2da Unidad"
,,"DR 026 ""Bajo Río San Juan"" Jefatura"
,,"DR 026 ""Bajo Río San Juan"" 3ra Unidad"
,,"Presa ""Marte R. Gómez"""
,,Residencia de Uso Sustentable
,Dirección Técnica,Dirección de Área
,,Laboratorio OCRB
,,Observatorio Monterrey
,,Radio Sondeo Aeropuerto Monterrey
,,Oficina Enlace Tamaulipas Zona Norte
,Dirección de Asuntos Jurídicos,Dirección de Área
,Dirección de Recaudación y Fiscalización,Dirección de Área
,"Dirección de Auditoría, Responsabilidades y Quejas Región Norte de la SAyBG",Titular
Dirección Local Colima,Agua Potable y Saneamiento en Zonas Rurales,Agua Potable y Saneamiento en Zonas Rurales
,Dirección,Dirección
,,Atención Social e Institucional y Cultura del Agua
,,Recaudación
,Distrito de Riego 053,Subjefatura de Operación
,,Ingenieria de Riego y Drenaje
,,Subjefatura de Conservacion
,Proteccion a la Infraestructura y Atención de Emergencias,Proteccion a la Infraestructura
,Residencia General de Construcción,Residencia General de Construcción
,Residencia Técnica,Residencia Técnica
,,Calidad del Agua
,,Aguas Superficiales
,,Zonas Federales
,,Climatología
,,Observatorio Meteorológico Manzanillo
,,Aguas Subterraneas
,Subdirección de Administración del Agua,Subdirección de Administración del Agua
,,Centro Integral de Servicios 
,,Inspección y Medición
,Subdirección de Enlace Administrativo,Subdirección de Enlace Administrativo
,,Informática
,,Personal
,,Recursos Financieros
,,Recursos Materiales
,Subdirección Técnica,Subdirección Técnica
,Unidad de Asuntos Jurídicos,Unidad de Asuntos Jurídicos
Dirección LocaL Aguascalientes,Dirección Local,Dirección
,,Transparencia
,Subdirección de Enlace Administrativo,Enlace Administrativo
,,Personal
,,Recursos Financieros
,,Servicios Generales
,,Adquisiciones
,,Control de inventarios
,,Recaudación
,Subdirección de Asistencia Técnica Operativa,Técnica
,,Aguas Superficiales
,,Programas Hidragrícolas
,,Opiniones técnicas
,,Laboratorio de Calidad del Agua 
,,Centro de Previsión Meteorológica
,Subdirección de Administración del Agua,Administración del Agua
,,Centro Integral de Servicios
,,Titulación
,,Dictaminación
,,Procedimientos Administrativos
,,Inspeción y Medición
,Unidad de Asuntos Jurídicos ,Unidad Jurídica
,Brigada de Protección a la Infraestructura y Atención a Emergencias,Brigada Piae
,,Castillo Presa Calles
,Distrito de Riego 001 Pabellón,Distrito de Riego
,"Subdirección de Consejos de Cuenca, Gestión Social y Atención a Emergencias",Consejos de Cuenca
,,Programas Federales
,,PRODDER
,,Desinfeción y plantas de tratamiento
,Tecnología de la Información y Comunicaciones,Informática y Telecomunicaciones
Dirección Local Durango,Direción Local Durango,Dirección 
,,Recaudación y Fiscalización
,,Unidad de Comunicación Social
,,Unidad de Asuntos Jurídicos
,Subdireccion de Enlace Administrativo,Subdirección de Enlace Administrativo
,,Recursos Materiales
,,Recursos Financieros
,,Recursos Humanos
,,Archivo de Tramite y Consentración
,,"Innovación, Calidad e Informatica"
,Subdireccion Tecnica Operativa,Subdirección Tecnica Operativa
,,Proyectos Prioritarios
,,Seguimiento y Evaluación de Programas Descentralizados
,,Saneamientos  de Cuencas
,,Aguas Subterraneas
,,Aguas Superficiales
,,Hidrología
,Subdireccion de Administración del Agua,Subdireccion   de   Administración   del   Agua ( Mezanine)
,,Servicios a Usuarios
,,Centro Integral de Servicios
,, Analisis y Evaluación de Infracción  y Calificaciones
,,Inspección y Medición
,,Archivo de concentracion de Subdirección del Agua
,Residencia General de  Construcción,Residencia General de  Construcción
,,Residencia especializada de construcción
,"Subdireccion de Consejos de Cuenca, Gestión Social y Atención a Emergencia","Subdireccion de Consejos de Cuenca, Gestión Social y Atención a Emergencia"
,,Brigada de Protección a la Infraestructura y Atención a Emergencias (comando central radio)
,,Jefatura de Proyecto de Agua Potable y Saneamiento En Zonas Rurales
,,Jefatura de Proyecto de Apoyo La Construcción
,,Jefatura de Proyecto de Cultura del Agua
,Distrito de Riego 052,Distrito de Riego 052
,,Subjefatura de Operación
,,Subjefatura de Conservación
," Subdireccion Tecnica Operativa Observatorio y Meteorologico, Laboratorio","Observatorio y Meteorologico, Laboratorio"
,  Subdireccion Tecnica Operativa Observatorio y Meteorologico,Observatorio y Meteorologico
Dirección Local Guanajuato,Dirección Local,
,Subdirección de Enlace Administrativo,
,,Recursos Humanos
,,Recursos Financieros
,, Recursos Materiales
,,Tecnología de la Información y Comunicaciones.
,Subdirección de Agua Potable y Saneamiento,
,Distrito de Riego 011 y 085,
,,Unidad de Riego Acámbaro
,,Unidad Presa La Purísima
,,Unidad de Riego Irapuato
,,Unidad de Riego Abasolo
,,Unidad Presa Allende
,Subdirección Técnica,
,,Meteorológico Guanajuato
,,Residencia Técnica
,,Laboratorio de Calidad del Agua
,,CRAE Salamanca.
,Unidad Jurídica,
,Subdirección de Admon. De Agua,
,,Recaudación
,,Atención a Usuarios
Dirección Local Hidalgo,Oficina de la Dirección Local Hidalgo,Oficina de la Dirección Local
,,Control de Gestion
,,Unidad Jurídica
,,Unidad Jurídica                                                      Área de Tenencia de la Tierra
,,"Área de Agua Potable, Drenaje y Saneamiento"
,,"Área de Agua Potable, Drenaje y Saneamiento                      Jefatura de Departamento de Elaboración de Estudios y Dictámenes Técnicos."
,,Área de Recaudación y Fiscalización
,,Residencia General del Proyecto El Comalillo
,,"Residencia Especializada Huasteca Hidalguense   y  Distrito de Riego 003, 100, 112"
,,"Residencia Especializada Huasteca Hidalguense   y  Distrito de Riego 003, 100, 112                                                                  Subjefatura de Distrito de Riego de Conservación 100 Alfajyucan"
,,"Residencia Especializada Huasteca Hidalguense   y  Distrito de Riego 003, 100, 112                                                             Subjefatura de Distrito de Riego de Irrigación y Drenaje 003 y 100"
,,"Residencia Especializada Huasteca Hidalguense   y  Distrito de Riego 003, 100, 112                                                              Oficina Administrativa de los Distritos de Riego 003, 100 y 112"
,,Distrito de Riego 028 Tulancingo
,,Distrito de Riego 008 Metztitlan
,"Subdirección de Consejos de Cuenca Gestión Social, Atención de emergencias y Área de Hidroagricola.  ","Subdirección de Consejos de Cuenca Gestión Social, Atención de emergencias y Área de Hidroagricola.  "
,,Brigada del PIAE
,,Jefatura de Departamento de Ingenieria Hidroagricola
,Subdirección de Administración del Agua,Subdirección de Administración del Agua
,,Jefatura de Departamento de Atención a Usuarios
,,Área del Centro Integral de Servicios
,,Jefatura de Departamento de Inspección y Medición.
,Subdirección Técnica,Subdirección Técnica
,,Coordinación de Saneamiento y Calidad del Agua
,,Jefatura del Centro de Previsión Meteorológica
,,Meteorologico Pachuca
,,Meteorologico Tulancingo
,,Previsión Meteorologica                               Oficina en Huejutla de Reyes
,,Prevsión Meteorologica                                                                            Oficina en Metztitlan
,Subdirección de Enlace Administrativo,Subdirección de Enlace Administrativo
,,Departamento de Personal
,,Departamento de Recursos Financieros
,,Departamento de Recursos Materiales
,,Área de Informática y Telecomunicaciones
Dirección Local Michoacán,Dirección Local ,Meteorológico Morelia 
,,Meteorológico Zamora
,,Unidad Jurídica
,,Recaudación
,Subdirección de Administración del Agua,Atención a Usuarios
,,Calificación de Infracciones
,,Inspección y Medición
,"Subdirección de Consejos de Cuenca, Gestión Social y atención emergencias",Cultura del Agua
,Subdirección Técnica,Distrito Industrial Marítimo.
,,"Agua Potable, Drenaje y Saneamiento"
,,Calidad del Agua
,,Laboratorio 
,,Aguas superficiales
,,Aguas subterráneas
,Infraestructura Hidroagrícola,Protección a la Infraestructura y Atención a Emergencias
,,Programas Federalizados
,,Residencia General Balsas
,,Distrito de Riego 061 Zamora y 099 Quitupan la Magdalena
,,Distrito de Riego 087 Rosario Mezquite
,,Distrito de Riego 097 Lázaro Cárdenas
,,Distrito de Riego 024 Ciénega de Chapala
,,Distrito de Riego 045 Tuxpan. 
,,Distrito de Riego 098 José María Morelos
,,Distrito de Riego 020 Morelia-Queréndaro
,,Residencia General Cupatitzio Tepalcatepec
,,Unidad de Riego Maravatío
,,Presa Cointzio
,Subdirección de Enlace Administrativo,Departamento de Recursos Humanos
,,Departamento de Recursos Financieros
,,Departamento de Recursos Materiales
,,Informática
Dirección Local Puebla,Dirección,Dirección
,Subdirección de Enlace Administrativo,Subdirección
,,Personal
,,Financieros
,,Recursos Materiales
,,Tecnología de Información y Comunicaciones
,Subdirección de Administraicón del Agua,Subdirección
,,Servicios a Usuarios
,,Centro Integral de Servicios
,,Inspección y Medición
,,Calificación de Infracciones
,Subdirección Técnica,Subdirección
,,Seguridad de Presas
,,Aguas Subterraneas
,,Aguas Superficiales e Ingeniería de Ríos
,,Calidad del Agua 
,Brigada de Piae,Brigada de Piae
,Unidad de Asuntos Jurídicos,Unidad de Asuntos Jurídicos
,Área de Infraestructura Hidroagricola y Rural,Jefatura del área
,,"Programa Rehabilitación, Tecnificación y Equipamiento de Unidades de Riego."
,,apoyo a la infraestructura
,"Subdirección de Agua Potable, Drenaje y Saneamiento",Subdirección
,,Programas Federalizados
,,Programa de Devoluación de Derechos
,Subdirección de Recaudación y Fiscalización,Subdirección de Recaudación y Fiscalización
,Subdirección Técnica,Laboratorio de Calidad del Agua
,,Observatorio Meteorológico
,Subdirección de Enlace Administrativo,Almacen
,Área de Infraestructura Hidroagricola y Rural,Distrito de Riego 030 Valsequillo
,Subdirección de Administración del Agua,Atención a Usuarios
Dirección Local Quintana Roo,Dirección,Dirección
,Subdirección de Enlace Administrativo,Personal
,,Recursos Financieros
,,Recursos Materiales
,,Tecnología de la Información y Comunicaciones
,,Tecnología de la Información y Comunicaciones / Cancun
,,Enlace Administrativo / Cancún
,Subdirección de Administración del Agua,Dictaminación y Titulación
,,Calificación de Infracciones
,,Inspección y Medición
,,Inspección y Medición / Cancún
,Recaudación y Fiscalización,Recaudación y Fiscalización
,,Recaudación y Fiscalización / Cancún
,Unidad Jurídica,unidad Jurídica
,"Subdirección de Agua Potable, Drenaje y Saneamiento",PROAGUA
,,Desinfección del Agua
,,Cultura del Agua
,,PRODDER Y PROSANEAR
,,Contraloría Social
,,Plantas de Tratamiento
,Subdirección de Infraestructura Hidroagrícola,Operación y Conservación de Distritos de Riego
,,Reahabilitacion y Modernizacion de Distritos de Riego
,,Distrito de Temporal Tecnificado 026
,,Riego Suplementario y Proyectos Productivos
,,Modernización y Tecnificación de Unidades de Riego
,,Protección a la Infraestructura y Atención a Emergencias
,,Protección a la Infraestructura y Atención a Emergencias / Cancun
,Subdirección Técnica,Centros de Previsión Meteorológica
,,Calidad del Agua
,,Aguas Subterráneas y Superficiales
,,Observatorio Meteorológico de Chetumal
,,Observatorio Meteorológico de Felipe Carrillo Puerto
,,Radar Meteorológico Cancún
,Subdirección de Consejos de Cuenca,Subdirección de Consejos de Cuenca / Cancún
Dirección Local Zacatecas,Direccion,
,,Residencia de Construcción
,,Distrito de Riego 054
,,Distrito de Riego 054
,,Distrito de Riego 054
,,Brigada de PIAE
,Unidad de Cominucación Social,
,Unidad de Asuntos Juridicos,
,Subdirección de Enlace Administrativo,Recursos Financieros
,,Personal
,,Recursos Materiales
,,Tecnologías de la Informacion y Comunicaciones
,Subdirección de Administración del Agua,Dictaminación
,,Ventanilla Unica
,,Inspección y Medición
,,Calificación e Infracciones
,,CIS
,Subdirección de Recaudación,Subdirección de Recaudación
,Subd. de Infraestructura Hidroagricola,
,"Subdirección de Agua Potable, Alcantarrilado y Saneamiento",PRODDER
,,PROSANEAR
,,PROAGUA Urbano
,,PROAGUA Rural
,,Contraloría Social
,,Agua Limpia
,Subdirección Tecnica,Aguas Subteraneas
,,Aguas Superficiales
,,Sanamiento y Calidad del Agua
,,Hidrometerelogía
,,Observatorio de la Bufa
,,Observatorio de Sombrerete
Dirección Local Baja California Sur,Dirección,Dirección
,Subdirección de Enlace Administrativo,Personal
,,Recursos Financieros
,,Tecnologías de la Información y Comunicaciones
,,Recaudación y Control de Contribuyentes
,,Recursos Materiales
,,Vigilancia
,Subdirección de Administración del Agua,Inspección y Medición
,,Normatividad
,,Centro Integral de Servicios
,,Dictaminación y Titulación
,,Archivo
,,Distrito de Riego 066
,,Centro Integral de Servicios Valle de Vizcaino
,Subdirección de Asistencia Técnica Operativa,Climatología
,,Aguas Superficiales
,,Aguas Subterraneas
,,Agua Potable
,,Centro de Previsión Meteorológica La Paz y Laboratorio de Calidad del Agua
,,Radar Meteorológico de Los Cabos
,,Centro de Previsión Meteorológica de Cd. Constitución
,,Centro de Previsión Meteorológica de Cd. Loreto
,,Centro de Previsión Meteorológica de Cd. Santa Rosalía
,"Subdirección de Consejos de Cuenca, Gestión Social y Atención a Emergencias",Centro Regional de Atención a Emergencias 
,,Comunicación Social
,Unidad Jurídica,Unidad Jurídica
Dirección Local San Luis Potosí,Dirección Local San Luis Potosi,Dirección Local San Luis Potosí
,Unidad Jurídica,Unidad Jurídica
,Área de Comunicación y Atención Social e Institucional,Área de Comunicación y Atención Social e Institucional
,Subdirección de Enlace Administrativo,Subdirección de Enlace Administrativo
,,Personal
,,Materiales
,,Financieros
,,Informática y Telecomunicaciones
,,Tenencia de la Tierra
,,Almacén
,Subdirección de Administración del Agua,Subdirección de Administración del Agua
,,Dictaminación y Titulación
,,Centro Integral Servicios
,,Inspección y Medición
,,Procedimientos Administrativos
,,Archivo
,Subdirección de Recaudación y Fiscalización,Subdirección de Recaudación y Fiscalización
,"Subdirección de Agua Potable, Drenaje y Saneamiento","Subdirección de Agua Potable, Drenaje y Saneamiento"
,,Demandas Ciudadanas
,,Cultura del Agua
,,Agua Potable
,Subdirección de Infraestructura Hidroagrícola,Subdirección de Infraestructura Hidroagrícola
,,Programas de Modernización y Tecnificación de Unidades de Riego
,,Uso Pleno de la Infraestructura Hidroagrícola
,,Obra Pública
,,"Distrito de Temporal Tecnificado 005, Cd. Valles"
